[2024-09-03 18:20:48.365] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.398] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.423] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.425] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.445] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.465] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.486] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.522] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.527] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.590] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.590] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.628] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.651] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.716] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.724] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.767] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.767] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.790] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.806] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.826] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.851] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.866] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.890] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.909] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.928] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.983] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.983] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
