[2024-09-04 10:08:49.564] [info] odom: [x 1.1116, y -13.4351, yaw -3.0083] vel: [v 0.0000, w 0.5000] estimate: [x 6.9150, y -15.0105, yaw -2.9558] encoder: [x -2.7516, y -13.5639, yaw -2.0482]
[2024-09-04 10:08:49.591] [info] odom: [x 1.1116, y -13.4351, yaw -2.9986] vel: [v 0.0000, w 0.5000] estimate: [x 6.9148, y -15.0104, yaw -2.9451] encoder: [x -2.7520, y -13.5647, yaw -2.0295]
[2024-09-04 10:08:49.622] [info] odom: [x 1.1116, y -13.4351, yaw -2.9890] vel: [v 0.0000, w 0.5000] estimate: [x 6.9144, y -15.0101, yaw -2.9264] encoder: [x -2.7516, y -13.5639, yaw -2.0184]
[2024-09-04 10:08:49.638] [info] odom: [x 1.1116, y -13.4351, yaw -2.9807] vel: [v 0.0000, w 0.5000] estimate: [x 6.9144, y -15.0101, yaw -2.9264] encoder: [x -2.7520, y -13.5647, yaw -2.0069]
[2024-09-04 10:08:49.659] [info] odom: [x 1.1116, y -13.4351, yaw -2.9708] vel: [v 0.0000, w 0.5000] estimate: [x 6.9142, y -15.0100, yaw -2.9184] encoder: [x -2.7520, y -13.5647, yaw -1.9993]
[2024-09-04 10:08:49.680] [info] odom: [x 1.1116, y -13.4351, yaw -2.9607] vel: [v 0.0000, w 0.5000] estimate: [x 6.9140, y -15.0099, yaw -2.9089] encoder: [x -2.7516, y -13.5639, yaw -1.9878]
[2024-09-04 10:08:49.697] [info] odom: [x 1.1116, y -13.4351, yaw -2.9491] vel: [v 0.0000, w 0.5000] estimate: [x 6.9138, y -15.0098, yaw -2.8992] encoder: [x -2.7520, y -13.5647, yaw -1.9762]
[2024-09-04 10:08:49.706] [info] odom: [x 1.1116, y -13.4351, yaw -2.9389] vel: [v 0.0000, w 0.5000] estimate: [x 6.9136, y -15.0097, yaw -2.8878] encoder: [x -2.7520, y -13.5647, yaw -1.9762]
[2024-09-04 10:08:49.728] [info] odom: [x 1.1116, y -13.4351, yaw -2.9285] vel: [v 0.0000, w 0.5000] estimate: [x 6.9134, y -15.0095, yaw -2.8780] encoder: [x -2.7516, y -13.5638, yaw -1.9569]
[2024-09-04 10:08:49.749] [info] odom: [x 1.1116, y -13.4351, yaw -2.9183] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8680] encoder: [x -2.7519, y -13.5646, yaw -1.9452]
[2024-09-04 10:08:49.768] [info] odom: [x 1.1116, y -13.4351, yaw -2.9097] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8578] encoder: [x -2.7519, y -13.5646, yaw -1.9376]
[2024-09-04 10:08:49.783] [info] odom: [x 1.1116, y -13.4351, yaw -2.8979] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8492] encoder: [x -2.7516, y -13.5637, yaw -1.9258]
[2024-09-04 10:08:49.799] [info] odom: [x 1.1116, y -13.4351, yaw -2.8896] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8374] encoder: [x -2.7519, y -13.5645, yaw -1.9143]
[2024-09-04 10:08:49.824] [info] odom: [x 1.1116, y -13.4351, yaw -2.8780] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8291] encoder: [x -2.7519, y -13.5645, yaw -1.9067]
[2024-09-04 10:08:49.848] [info] odom: [x 1.1116, y -13.4351, yaw -2.8697] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8175] encoder: [x -2.7516, y -13.5637, yaw -1.8954]
[2024-09-04 10:08:49.861] [info] odom: [x 1.1116, y -13.4351, yaw -2.8599] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.8092] encoder: [x -2.7519, y -13.5645, yaw -1.8843]
[2024-09-04 10:08:49.885] [info] odom: [x 1.1116, y -13.4351, yaw -2.8487] vel: [v 0.0000, w 0.5000] estimate: [x 6.9132, y -15.0094, yaw -2.7994] encoder: [x -2.7519, y -13.5646, yaw -1.8767]
[2024-09-04 10:08:49.901] [info] odom: [x 1.1116, y -13.4351, yaw -2.8406] vel: [v 0.0000, w 0.5000] estimate: [x 6.9112, y -15.0079, yaw -2.7912] encoder: [x -2.7516, y -13.5638, yaw -1.8653]
